flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,122,67418,54,0.659389
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,123,67511,93,0.591846
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,124,68447,936,2.4472
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,125,68507,60,0.060999
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,126,68561,54,0.400691
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,127,69006,445,0.34695
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,128,69124,118,0.002
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,129,69606,482,0.00657
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,130,70609,1003,0.170084
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,131,71642,1033,0.001999
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,132,71702,60,0.057998
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,133,71762,60,0.014035
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,134,71822,60,0.161556
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,135,71882,60,0.002795
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,136,73330,1448,0.006644
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,137,74778,1448,0.004007
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,138,76226,1448,0.015992
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,139,76398,172,0.003001
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,140,76578,180,0.20368
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,141,76731,153,0.002002
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,142,77283,552,0.002
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,143,77455,172,0.001998
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,144,77627,172,0.002
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,145,78885,1258,0.267057
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,146,79860,975,0.001995
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,147,81308,1448,0.003
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,148,81384,76,0.003004
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,149,82061,677,0.005
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,150,82121,60,0.023998
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,151,82181,60,0.001999
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,152,82663,482,0.005998
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,153,82723,60,0.174946
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,154,82783,60,0.002
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,155,82843,60,0.002
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,156,82903,60,0.002
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,157,83215,312,0.001999
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,158,83275,60,0.001001
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,159,84723,1448,0.002999
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,160,84783,60,0.129018
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,161,84843,60,0.002004
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,162,84897,54,0.008004
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,163,84989,92,0.001997
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,164,85049,60,0.009999
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,165,85296,247,0.041997
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,166,85381,85,0.002
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,167,85441,60,0.170018
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,168,85501,60,0.001999
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,169,86949,1448,0.025001
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,170,88397,1448,0.002001
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,171,89845,1448,0.013997
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,172,90017,172,0.003002
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,173,90197,180,0.003
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,174,90350,153,0.000999
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,175,91740,1390,0.003002
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,176,91958,218,0.001999
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,177,92189,231,0.001999
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,178,92355,166,0.002003
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,179,92583,228,0.001997
111.31.33.19:443->172.20.92.191:62780,哔哩哔哩,180,92815,232,0.002
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,181,93029,214,0.068
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,182,93147,118,0.002001
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,183,94069,922,0.121001
111.31.33.21:443->172.20.92.191:62751,哔哩哔哩,184,94129,60,0.004003
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,185,94183,54,0.010998
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,186,94396,213,0.002001
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,187,94514,118,0.001999
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,188,94738,224,0.029004
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,189,94823,85,0.002
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,190,94877,54,0.004
