flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
111.6.56.83:443->172.20.92.191:59849,知乎,221,183195,1448,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,222,183261,66,0.003002
111.6.56.83:443->172.20.92.191:59849,知乎,223,183327,66,0.00665
111.6.56.83:443->172.20.92.191:59849,知乎,224,184775,1448,0.004001
111.6.56.83:443->172.20.92.191:59849,知乎,225,186223,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,226,186289,66,0.001999
111.6.56.83:443->172.20.92.191:59849,知乎,227,186343,54,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,228,187791,1448,0.003002
111.6.56.83:443->172.20.92.191:59849,知乎,229,189239,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,230,190687,1448,0.003004
111.6.56.83:443->172.20.92.191:59849,知乎,231,192135,1448,0.002996
111.6.56.83:443->172.20.92.191:59849,知乎,232,192201,66,0.003002
111.6.56.83:443->172.20.92.191:59849,知乎,233,192255,54,0.001999
111.6.56.83:443->172.20.92.191:59849,知乎,234,193703,1448,0.003368
111.6.56.83:443->172.20.92.191:59849,知乎,235,195151,1448,0.004011
111.6.56.83:443->172.20.92.191:59849,知乎,236,196599,1448,0.00371
111.6.56.83:443->172.20.92.191:59849,知乎,237,198047,1448,0.004191
111.6.56.83:443->172.20.92.191:59849,知乎,238,198101,54,0.002512
111.6.56.83:443->172.20.92.191:59849,知乎,239,199549,1448,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,240,200997,1448,0.004126
111.6.56.83:443->172.20.92.191:59849,知乎,241,202445,1448,0.004
111.6.56.83:443->172.20.92.191:59849,知乎,242,203893,1448,0.003005
111.6.56.83:443->172.20.92.191:59849,知乎,243,203947,54,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,244,205395,1448,0.002997
111.6.56.83:443->172.20.92.191:59849,知乎,245,206843,1448,0.004
111.6.56.83:443->172.20.92.191:59849,知乎,246,208291,1448,0.004001
111.6.56.83:443->172.20.92.191:59849,知乎,247,209739,1448,0.002998
111.6.56.83:443->172.20.92.191:59849,知乎,248,209793,54,0.002
111.6.56.83:443->172.20.92.191:59849,知乎,249,211241,1448,0.003973
111.6.56.83:443->172.20.92.191:59849,知乎,250,212689,1448,0.003998
111.6.56.83:443->172.20.92.191:59849,知乎,251,214137,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,252,214191,54,0.002002
111.6.56.83:443->172.20.92.191:59849,知乎,253,215639,1448,0.004074
111.6.56.83:443->172.20.92.191:59849,知乎,254,217087,1448,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,255,218535,1448,0.001999
111.6.56.83:443->172.20.92.191:59849,知乎,256,219983,1448,0.003001
111.6.56.83:443->172.20.92.191:59849,知乎,257,220037,54,0.002001
111.6.56.83:443->172.20.92.191:59849,知乎,258,221485,1448,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,259,222933,1448,0.003002
111.6.56.83:443->172.20.92.191:59849,知乎,260,224381,1448,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,261,225829,1448,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,262,225883,54,0.002003
111.6.56.83:443->172.20.92.191:59849,知乎,263,227331,1448,0.003997
111.6.56.83:443->172.20.92.191:59849,知乎,264,228779,1448,0.003054
111.6.56.83:443->172.20.92.191:59849,知乎,265,228845,66,0.002512
