Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,SNI,Category
2024-10-09 17:35:54,172.20.160.113,111.31.33.21,61734,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.31.33.21,61734,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.31.33.21,61734,443,TCP,www.bilibili.com,哔哩哔哩 Traffic
2024-10-09 17:35:54,111.40.180.70,172.20.160.113,443,61747,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.40.180.70,61747,443,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.31.33.21,61734,443,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.42.186.240,61628,443,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.31.33.21,61734,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.31.33.21,61734,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.31.33.21,61734,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.31.33.21,61734,443,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.42.186.240,61628,443,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61745,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61745,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61745,853,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61746,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61746,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.42.186.240,61628,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61746,853,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61759,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61759,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61759,853,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61753,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61753,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61753,853,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
